heart_rate,spo2,temperature,respiratory_rate,systolic_bp,risk_score_2h,condition_2h,risk_score_6h,condition_6h,risk_score_12h,condition_12h,risk_score_24h,condition_24h
111.8,96.4,37.0,12.2,95.1,0.0283,No significant risk,0.0377,No significant risk,0.0519,No significant risk,0.0802,Risk of tachycardia
94.6,98.0,36.9,12.2,138.5,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
61.5,78.8,34.3,14.8,135.8,0.1336,Risk of hypoxia,0.1532,Risk of hypoxia,0.1827,Risk of hypoxia,0.2415,Risk of hypoxia
68.9,95.7,35.8,14.1,108.8,0.0039,No significant risk,0.0042,No significant risk,0.0047,No significant risk,0.0056,No significant risk
101.0,93.2,36.8,18.3,88.0,0.019,Risk of hypotension,0.0216,Risk of hypotension,0.0256,Risk of hypotension,0.0335,Risk of hypotension
61.1,92.4,37.9,23.5,137.5,0.0275,No significant risk,0.0316,No significant risk,0.0378,No significant risk,0.05,Risk of hypoxia
56.3,96.1,36.6,11.7,117.2,0.0141,No significant risk,0.018,No significant risk,0.0239,No significant risk,0.0355,Risk of bradycardia
96.4,96.3,36.8,14.5,116.0,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
62.0,97.8,37.4,23.2,143.2,0.0079,Risk of hypertension,0.0079,Risk of hypertension,0.0079,Risk of hypertension,0.0079,Risk of hypertension
109.9,92.5,36.0,10.6,106.1,0.0377,No significant risk,0.0481,No significant risk,0.0637,No significant risk,0.095,Risk of tachycardia
67.6,97.0,36.4,13.9,120.3,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
92.1,95.4,37.2,18.2,99.9,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
92.6,98.5,36.9,18.2,93.7,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
57.5,97.2,37.1,14.6,89.1,0.0124,Risk of hypotension,0.0151,Risk of hypotension,0.019,Risk of hypotension,0.0269,Risk of hypotension
71.1,96.4,37.1,22.4,115.7,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
88.5,98.8,36.7,18.2,114.7,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
77.8,92.2,35.8,10.4,126.4,0.0216,No significant risk,0.025,No significant risk,0.0299,No significant risk,0.0398,Risk of hypoxia
83.1,97.4,36.1,15.7,134.1,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
63.1,96.4,36.3,19.4,130.4,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
106.6,96.8,36.0,22.5,120.1,0.0168,No significant risk,0.0222,No significant risk,0.0303,No significant risk,0.0464,No significant risk
147.0,81.7,33.8,12.6,122.7,0.2441,Risk of tachycardia,0.2995,Risk of tachycardia,0.3825,Risk of tachycardia,0.5487,Risk of tachycardia
142.6,75.1,36.6,18.1,95.0,0.2114,Risk of tachycardia,0.2653,Risk of tachycardia,0.3462,Risk of tachycardia,0.508,Risk of tachycardia
