heart_rate,spo2,temperature,respiratory_rate,systolic_bp,sleep_hours,stress_level,activity_level,risk_level
89.0,97.5,37.2,24.2,140.1,5.7,9.5,7.3,moderate
73.2,93.6,36.3,13.5,128.4,3.8,3.0,5.2,low
68.9,98.2,37.9,17.2,121.8,4.9,3.7,4.6,low
93.6,94.6,36.5,19.8,147.4,3.7,0.7,9.5,low
78.0,97.8,36.0,20.2,160.5,3.2,5.0,0.3,moderate
119.9,98.1,37.2,22.4,149.2,3.8,9.7,7.8,critical
71.8,94.6,36.0,19.0,127.0,5.9,2.7,8.3,low
97.4,95.3,36.7,19.7,148.0,9.3,7.7,0.7,low
86.8,95.2,37.0,16.9,107.5,5.3,0.6,3.1,low
87.3,96.9,37.6,10.7,145.5,9.1,7.6,5.6,low
69.0,99.1,37.1,17.4,124.6,2.3,1.1,0.3,low
60.0,95.4,36.3,18.7,123.9,9.6,2.3,0.8,low
104.1,96.4,36.4,21.9,116.9,10.0,1.9,8.9,low
100.1,96.2,36.8,18.1,134.0,6.3,8.2,8.6,moderate
102.0,91.7,36.1,26.0,127.0,3.2,3.4,9.4,high
58.3,97.1,37.8,15.4,123.6,5.0,2.8,0.4,low
110.2,93.3,36.2,24.8,116.6,3.4,4.9,9.9,high
95.5,95.0,36.5,17.6,122.0,8.3,6.3,5.4,low
81.5,94.6,36.9,13.3,127.4,8.8,0.2,5.1,low
78.3,98.6,36.0,17.5,142.2,3.4,3.4,1.1,low
60.6,99.4,37.2,13.4,127.4,7.3,2.4,0.9,low
109.5,96.6,36.2,26.6,134.3,2.8,1.6,9.0,moderate
68.5,94.7,37.0,20.0,125.1,8.5,2.2,7.1,low
84.4,95.2,36.2,15.8,124.1,7.7,0.9,3.7,low
116.5,96.7,36.0,19.1,116.3,10.9,6.3,7.9,moderate
100.3,96.6,37.1,20.3,138.9,2.2,6.5,1.8,high
103.1,96.3,36.5,18.0,149.7,11.6,8.5,2.9,moderate
79.4,97.1,36.1,17.8,130.9,9.0,5.7,1.0,low
94.2,95.8,37.0,18.8,132.4,9.0,7.0,3.6,low
98.6,98.9,37.2,18.0,147.0,7.0,8.0,6.5,low
74.6,95.9,35.7,17.1,115.0,5.8,0.9,5.8,low
99.8,97.1,36.4,18.4,158.0,2.4,8.2,3.6,high
98.9,100.0,37.3,18.5,120.2,8.2,0.9,0.5,low
94.2,95.4,36.8,20.5,148.1,5.2,8.0,2.7,moderate
78.2,93.8,37.1,19.8,124.5,6.1,1.7,1.6,low
91.5,99.5,36.2,17.3,129.3,8.1,4.2,2.5,low
62.1,96.8,35.6,12.1,138.5,6.7,1.0,4.9,low
95.9,99.3,36.6,14.3,135.7,2.5,3.7,6.3,low
95.5,97.3,35.8,22.4,130.3,2.7,6.4,0.3,moderate
118.2,97.6,36.7,19.8,140.6,7.5,9.4,3.9,moderate
77.9,95.7,37.1,22.6,124.3,10.4,0.2,8.1,low
80.8,98.5,36.9,15.9,121.4,10.0,2.8,1.8,low
104.3,96.1,36.7,19.5,136.7,5.7,7.8,3.4,high
100.0,96.7,36.5,20.2,127.1,10.3,3.2,9.0,low
87.0,94.6,37.0,18.0,111.6,8.3,4.5,2.9,low
89.9,94.4,36.4,21.0,113.2,7.5,4.4,8.9,low
70.7,97.4,36.9,18.6,133.9,8.2,1.0,0.8,low
98.8,95.3,37.0,22.9,166.9,11.5,9.9,7.5,moderate
92.3,97.0,36.7,19.9,159.6,6.2,9.1,1.1,moderate
105.8,98.4,36.9,21.3,147.9,7.8,9.6,3.7,moderate
128.8,96.5,36.4,28.6,146.7,2.7,5.5,9.7,high
93.2,100.0,36.2,13.5,112.8,11.0,0.5,2.8,low
55.9,97.7,36.9,18.9,128.9,6.6,3.5,5.8,low
124.7,98.5,36.8,18.5,162.2,6.2,9.3,8.7,high
78.6,94.5,36.9,22.0,143.6,11.7,8.4,8.4,moderate
102.9,96.1,37.4,17.8,148.1,12.0,10.0,5.6,moderate
90.9,100.0,36.3,16.2,129.3,11.5,6.1,2.3,low
108.7,100.0,37.5,18.5,132.9,9.7,5.2,8.5,moderate
99.3,98.5,36.4,16.9,105.9,3.3,0.3,7.6,low
109.7,100.0,37.0,24.9,127.7,6.4,9.0,3.5,high
97.3,98.6,36.9,15.5,146.9,10.6,9.5,1.5,low
85.7,97.7,36.3,15.8,115.3,5.3,6.3,2.4,low
70.5,96.0,36.2,14.3,102.8,11.0,4.7,6.7,low
73.3,95.6,36.7,15.7,117.6,5.6,5.0,6.9,low
81.9,94.5,38.0,17.6,127.4,10.1,7.5,1.8,moderate
53.1,98.2,36.8,25.2,133.4,9.5,0.4,2.5,moderate
72.7,95.2,36.5,16.8,115.0,3.1,4.5,5.3,low
83.7,99.4,37.0,19.8,137.8,5.3,1.2,8.9,low
78.8,100.0,36.4,15.4,147.5,2.9,5.4,5.9,moderate
84.8,92.8,36.9,19.8,114.2,7.7,3.6,9.9,moderate
53.4,98.4,36.8,16.3,127.4,3.9,2.9,1.7,moderate
79.0,97.2,37.0,11.2,128.2,4.6,1.7,6.7,low
77.8,91.5,36.4,15.1,101.7,9.7,1.9,3.2,moderate
